sentence,label
"Onlar daha pankartlarını indirmemişlerdi ki, birkaç gün sonra Boğaz'dan transit geçiş yapan Yunan bandıralı Mariana adlı kuru yük gemisin ambarında çıkan yangın, tehlikeli saatlerin yaşanmasına neden oldu.",0
"Bir başka deyimle, bencil bir istek uğruna Salur Kazan birinci anlatım biriminde görülen toplumsal uyum ortamını bozuyor.",0
"Lucescu, bir televizyon programında yaptığı açıklamada, Galatasaray'ın hassas durumda olduğunu vurgulayarak, ""Tazminat da isteyebilirdim.",1
"Kapı, albümü aradığım sırada o çantaları karıştırıp, kilitli olanlarla uğraşmaktan vazgeçtiğimde dikkatimi çekti.",0
Fındığın antidot hassasını önceden söylemiş olsalardı o mübarek günü beklemeden çoktan avuçlamış gitmiştim.,1
"Robert de paralı okuldu, benimki de öyle ama Amerikanizm'den ailecek çok haz etmezdik.",0
"Gelip geçici heveslerinden, sürekli değişen ruh hallerinden kimse gocunmazdı.",0
Çünkü görevini mükemmelen yapmıştı ve yerini başka kurallara bırakmalıydı.,1
"Bilkent yönetiminin tutumu ise, bir anlamda Doğramacı'nın tavrını yansıtıyordu, bilkent yaklaşımını, ""babası"" olan Doğramacı'nın yönlendirmesiyle belirtiyordu.",0
"Ben olsam, düzeltmem; yenisini yaparım.",1
"Yabancılara satsaydı, kim bilir ne büyük paralara kavuşacaktı!",1
"Yedi Kardeşe Yedi Gelin adlı müzikal bir Amerikan filmi oynuyordu, ilk renkli filmlerden biri olmalıydı çünkü perdede gördüğüm renklere, kar manzaralarına, odun biçerken söylenen neşeli şarkılara, kızak sahnelerine hayran kalmıştım.",0
"İnsan hakları evrensel bir düşünceydi; ortak bir ruh birliği, manevi bütünlük yaratmak gibi ihtiyaçlara cevap veremezdi.",0
"İkinci yol ise, virüsün, çok daha sınırlı mutasyonlar yoluyla insan hücrelerine bağlanma olanağını kazanmasıdır.",0
"Burada şu nokta ortaya çıkıyor: Şayet bu çocuklar zorla alınıyor ve sistemli bir asimilasyon politikasına tabi tutuluyor olsaydı, bu kadar itina ile seçilmezler ve özel güvenlik tedbirleriyle korumaya alınmazlardı.",1
ŞEREF: Benim aradığım bir başka biri var zaten.,0
"Bu tesis o zaman olsaydı buna hiç ihtiyaç kalmayacaktı"" dedi.",1
hayıt tohumunu havanda eziyorum üstüne kaynamış suyu koyup 10 dk demleyip aç karnına içiliyor sürekli ben 10 gündür falan içiyorum bakalım inşallah faydası olur hiçbir yan etkisi yok denemekte fayda var bence çünkü çok araştırdım hayıt tohumunu,0
Önceleri bunu hep aradığım anneyi bulma çabası olarak niteledim.,0
"Moralim yürüyemediğim zamanlarda dahi bu kadar bozuk değildi, ama atlatacağımdan eminim.",0
Mühendishaneler de örneğin Fransa'daki İcole Polytechnique modeline olsa olsa kabaca benzerler.,0
Zaten cezalandırılması da lise son sınıf öğrencisi Eyüp'ün sivrilme tutkusunu dizginlemeye yetmezdi.,1
"Kimileri için içki katiyen içmemek, içici içilen bir sofrada katiyen oturmamak Tayyip Erdoğan gibi çok üst kademeyi kastetmiyorum ama daha farklı mekânlarda bunlar doğru olabilir.",0
"İşlenen bu tür suçlar, Türk Ceza Kanunu'nun ""görevi suiistimal"" veya ""görevi kötüye kullanma""ya ilişkin maddeleri kapsamında değerlendiriliyor.",0
"Söz konusu bu karşılıklı nedensellik ilişkileri ülke deneyimleri ile test edilmiş, ilişkinin çift taraflı işleyen bir pozitif yapıya sahip olduğu kanıtlanmıştır.",0
"Bugün Türkiye'de yazmak, Türkiye'den yazmak aynı zamanda bu Doğu-Batı sorunsalının bir parçası olmak demektir.",0
"Arkadaşımın oğlu Selim o sıralarda altı, yedi yaşlarında olmalıydı.",0
"Eski yurtlarının örf, âdet, dini adâb ve erkânını da taşımış olan bu sufi grublar, aynı zamanda, muhacerette önderlik görevini icra etmişlerdir.",0
"Dolayısıyla, gerek bu çözüme ulaşmak için yapılan çalışmalarda uygulanacak taktik ve yöntemler, gerek varılması amaçlanan çözümün içeriğinde Türkiye'nin söz hakkı olması, gereklidir.",0
POSTMODERNİZM VE HABERMAS ÜZERİNE SON BİRKAÇ SÖZ,0
"Aile üyeleri, çocuklar, babalar, zaman zaman evin annesine yemeklerde gördükleri eksikleri söylediler, şunun tuzu çok, bu biraz daha pişmeliydi dediler de, şöyle bir yürek dolusu, ""Ellerine sağlık, pek güzel olmuş"" denildiğini az duydum.",0
"Bir kadının bir kadında bulamayıp, başka bir kadında bulduğu ne olabilirdi.",0
Önce Giovanni denilen bu adamı hemen bulmalıydım.,0
- Diskteki son eser ise ünlü do majör Preiüd-Füg.,0
ben gitgide kararan vücudumu suda tutardım,0
"Son günlerin formda iki ekibini karşı karşıya getiren mücadelede ise Milwaukee Bucks, sahasında Washington Wizards'ı son çeyrekteki etkili oyunuyla 119-102 mağlup etti.",0
"Öyle edebiyat, sanat tartışmalarına giriştiğimiz pek olmazdı.",0
Marmaris'e her gidişinde oraya koşar.,0
"Burada seyircilerin dizinin gerçekçiliği konusundaki görüşlerini  saptamak üzere; dizinin masalsı olup olmadığı, karakterlerin gerçekçi olup olmadığı, dizideki ağa tiplemesinin, ağalık sistemini yansıtıp yansıtmadığı, Türk toplumunda bu tür ailelerin olup olmadığı, toplumun örf, adet ve geleneklerini yansıtıp yansıtmadığı ve kahya ile ev çalışanlarının yaşamlarının gerçekçi olup olmadığı sorularının yanıtlarının analizi yapılmıştır.",0
"Hatta bu amaçla, İETT'de yapılmış olan ihale, yaklaşık bir yıllık beklemeden sonra 2004 yılı Haziran ayında Komisyon Kararı ile iptal bile ettirilmiş, bu iptal kararı Encümen'in gündemine dahi girmişti.",0
